seconds,pitch,roll,yaw
0.1,-1.456,-4.296,0
0.1995,-1.445,-4.296,0
0.299,-1.445,-4.296,0
0.3985,-1.445,-4.285,0
0.498,-1.445,-4.285,0
0.5975,-1.45,-4.279,0
0.697,-1.45,-4.279,0
0.7965,-1.45,-4.279,0
0.896,-1.45,-4.285,0
0.9955,-1.45,-4.279,0
1.095,-1.45,-4.279,0
1.1945,-1.45,-4.285,0
1.294,-1.445,-4.279,0
1.3935,-1.439,-4.279,0
1.493,-1.439,-4.285,0
1.5925,-1.439,-4.29,0
1.692,-1.434,-4.29,0
1.7915,-1.434,-4.285,0
1.891,-1.439,-4.29,0
1.9905,-1.439,-4.29,0
2.09,-1.434,-4.29,0
2.1895,-1.434,-4.29,0
2.289,-1.434,-4.285,0
2.3885,-1.428,-4.29,0
2.488,-1.428,-4.296,0
2.5875,-1.423,-4.29,0
2.687,-1.423,-4.29,0
2.7865,-1.417,-4.279,0
2.886,-1.417,-4.285,0
2.9855,-1.417,-4.274,0
3.085,-1.412,-4.268,0
3.1845,-1.406,-4.279,0
3.284,-1.406,-4.285,0
3.3835,-1.406,-4.279,0
3.483,-1.401,-4.268,0
3.5825,-1.401,-4.274,0
3.682,-1.401,-4.268,0
3.7815,-1.401,-4.274,0
3.881,-1.406,-4.279,0
3.9805,-1.401,-4.279,0
4.08,-1.401,-4.279,0
4.1795,-1.406,-4.285,0
4.279,-1.406,-4.285,0
4.3785,-1.406,-4.29,0
4.478,-1.406,-4.29,0
4.5775,-1.406,-4.29,0
4.677,-1.412,-4.29,0
4.7765,-1.417,-4.296,0
4.876,-1.412,-4.29,0
4.9755,-1.412,-4.296,0
5.075,-1.406,-4.296,0
5.1745,-1.412,-4.296,0
5.274,-1.406,-4.29,0
5.3735,-1.406,-4.29,0
5.473,-1.406,-4.296,0
5.5725,-1.412,-4.296,0
5.672,-1.412,-4.296,0
5.7715,-1.412,-4.307,0
5.871,-1.412,-4.301,0
5.9705,-1.417,-4.307,0
6.07,-1.423,-4.307,0
6.1695,-1.423,-4.307,0
6.269,-1.417,-4.301,0
6.3685,-1.417,-4.301,0
6.468,-1.412,-4.301,0
6.5675,-1.406,-4.301,0
6.667,-1.406,-4.307,0
6.7665,-1.406,-4.307,0
6.866,-1.406,-4.307,0
6.9655,-1.406,-4.296,0
7.065,-1.401,-4.296,0
7.1645,-1.406,-4.296,0
7.264,-1.406,-4.301,0
7.3635,-1.412,-4.301,0
7.463,-1.406,-4.301,0
7.5625,-1.406,-4.301,0
7.662,-1.406,-4.296,0
7.7615,-1.406,-4.296,0
7.861,-1.412,-4.301,0
7.9605,-1.412,-4.296,0
8.06,-1.412,-4.296,0
8.1595,-1.406,-4.296,0
8.259,-1.406,-4.29,0
8.3585,-1.412,-4.301,0
8.458,-1.417,-4.301,0
8.5575,-1.417,-4.296,0
8.657,-1.417,-4.296,0
8.7565,-1.417,-4.301,0
8.856,-1.417,-4.301,0
8.9555,-1.412,-4.301,0
9.055,-1.417,-4.296,0
9.1545,-1.417,-4.296,0
9.254,-1.412,-4.296,0
9.3535,-1.412,-4.301,0
9.453,-1.417,-4.307,0
9.5525,-1.412,-4.307,0
9.652,-1.406,-4.301,0
9.7515,-1.412,-4.307,0
9.851,-1.412,-4.307,0
9.9505,-1.412,-4.307,0
10.05,-1.412,-4.301,0
10.1495,-1.406,-4.307,0
10.249,-1.406,-4.307,0
10.3485,-1.412,-4.312,0
10.448,-1.406,-4.307,0
10.5475,-1.406,-4.296,0
10.647,-1.412,-4.296,0
10.7465,-1.412,-4.301,0
10.846,-1.412,-4.312,0
10.9455,-1.412,-4.312,0
11.045,-1.412,-4.301,0
11.1445,-1.412,-4.307,0
11.244,-1.417,-4.307,0
